Rebuild collider fingerprint equal=True colliders=62 renderers=126 restored pipeline=PC_RPAsset
Bar|BoxCollider|(10.0000, 3.2000, 7.0000)|(0.0000, -0.1478, 0.0000, 0.9890)|(8.0000, 0.2000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Border_E|BoxCollider|(3.2878, 0.2000, -9.7677)|(0.0000, -0.0698, 0.0000, 0.9976)|(0.1700, 0.4000, 5.1000)|False|(1.0000, 1.0000, 1.0000)
Border_N|BoxCollider|(-0.8549, 0.2000, -7.7748)|(0.0000, -0.0698, 0.0000, 0.9976)|(7.9900, 0.4000, 0.1700)|False|(1.0000, 1.0000, 1.0000)
Border_S|BoxCollider|(-0.1451, 0.2000, -12.8252)|(0.0000, -0.0698, 0.0000, 0.9976)|(7.9900, 0.4000, 0.1700)|False|(1.0000, 1.0000, 1.0000)
Border_W|BoxCollider|(-4.2878, 0.2000, -10.8323)|(0.0000, -0.0698, 0.0000, 0.9976)|(0.1700, 0.4000, 5.1000)|False|(1.0000, 1.0000, 1.0000)
Carousel|BoxCollider|(0.0000, 0.0000, 0.5000)|(0.0000, 0.0000, 0.0000, 1.0000)|(1.0000, 1.0000, 1.0000)|True|(8.0000, 0.4000, 8.0000)
Chute_Rail_E|BoxCollider|(-8.4036, 1.8750, 5.8103)|(0.0835, 0.8898, -0.4105, 0.1810)|(0.1500, 0.5000, 3.8781)|False|(1.0000, 1.0000, 1.0000)
Chute_Rail_W|BoxCollider|(-10.6128, 1.8750, 4.8725)|(0.0835, 0.8898, -0.4105, 0.1810)|(0.1500, 0.5000, 3.8781)|False|(1.0000, 1.0000, 1.0000)
Chute|BoxCollider|(-9.5082, 1.5250, 5.3414)|(0.0835, 0.8898, -0.4105, 0.1810)|(2.4000, 0.2500, 3.8781)|False|(1.0000, 1.0000, 1.0000)
Collision_Barrel|BoxCollider|(-4.8000, 0.0000, 15.5000)|(0.0000, 0.0000, 0.0000, 1.0000)|(1.0000, 1.0000, 1.0000)|False|(0.9000, 1.1500, 0.9000)
Collision_Barrel|BoxCollider|(-5.8000, 0.0000, 15.2000)|(0.0000, 0.1219, 0.0000, 0.9925)|(1.0000, 1.0000, 1.0000)|False|(0.9000, 1.1500, 0.9000)
Collision_Bench|BoxCollider|(-16.0000, 0.0000, 8.8000)|(0.0000, -0.2840, 0.0000, 0.9588)|(1.0000, 1.0000, 1.0000)|False|(2.8000, 1.2500, 0.9500)
Collision_Sandbags|BoxCollider|(16.4000, 0.0000, 9.7000)|(0.0000, -0.3256, 0.0000, 0.9455)|(1.0000, 1.0000, 1.0000)|False|(3.1000, 0.8000, 0.6500)
Deck|MeshCollider|(0.0000, 0.2000, 0.5000)|(0.0000, 0.0000, 0.0000, 1.0000)|(8.0000, 0.2000, 8.0000)|False|(8.0000, 0.4000, 8.0000)
Fence_0|BoxCollider|(-16.5000, 1.5000, -14.5000)|(0.0000, 0.3827, 0.0000, 0.9239)|(7.0711, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_1|BoxCollider|(-2.0000, 1.5000, -17.5000)|(0.0000, 0.0208, 0.0000, 0.9998)|(24.0208, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_2|BoxCollider|(14.5000, 1.5000, -15.0000)|(0.0000, -0.2898, 0.0000, 0.9571)|(10.8167, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_3|BoxCollider|(19.5000, 1.5000, -2.0000)|(0.0000, -0.6892, 0.0000, 0.7245)|(20.0250, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_4|BoxCollider|(17.0000, 1.5000, 12.0000)|(0.0000, -0.8944, 0.0000, 0.4472)|(10.0000, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_5|BoxCollider|(1.5000, 1.5000, 17.0000)|(0.0000, -0.9992, 0.0000, 0.0399)|(25.0799, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_6|BoxCollider|(-15.5000, 1.5000, 14.0000)|(0.0000, 0.9347, 0.0000, 0.3554)|(12.0416, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_7|BoxCollider|(-20.5000, 1.5000, 2.5000)|(0.0000, 0.7302, 0.0000, 0.6832)|(15.0333, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Fence_8|BoxCollider|(-20.0000, 1.5000, -8.5000)|(0.0000, 0.6022, 0.0000, 0.7983)|(7.2801, 3.0000, 0.4000)|False|(1.0000, 1.0000, 1.0000)
Floor|BoxCollider|(0.0000, -0.2000, 0.0000)|(0.0000, 0.0000, 0.0000, 1.0000)|(42.0000, 0.4000, 36.0000)|False|(1.0000, 1.0000, 1.0000)
KillZone_Bottom|BoxCollider|(0.0000, -5.0000, 0.0000)|(0.0000, 0.0000, 0.0000, 1.0000)|(1.0000, 1.0000, 1.0000)|True|(50.0000, 1.0000, 44.0000)
Leg_E_N|BoxCollider|(13.5329, 1.6000, 9.1258)|(0.0000, -0.1478, 0.0000, 0.9890)|(0.2000, 3.2000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Leg_E_S|BoxCollider|(14.1176, 1.6000, 7.2132)|(0.0000, -0.1478, 0.0000, 0.9890)|(0.2000, 3.2000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Leg_W_N|BoxCollider|(5.8824, 1.6000, 6.7868)|(0.0000, -0.1478, 0.0000, 0.9890)|(0.2000, 3.2000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Leg_W_S|BoxCollider|(6.4672, 1.6000, 4.8742)|(0.0000, -0.1478, 0.0000, 0.9890)|(0.2000, 3.2000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Platform|BoxCollider|(-10.5861, 2.8500, 7.8808)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.8000, 0.3000, 3.0000)|False|(1.0000, 1.0000, 1.0000)
Post_E|BoxCollider|(-9.4815, 1.5000, 8.3496)|(0.0000, -0.1994, 0.0000, 0.9799)|(0.2000, 3.0000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Post_W|BoxCollider|(-11.6907, 1.5000, 7.4119)|(0.0000, -0.1994, 0.0000, 0.9799)|(0.2000, 3.0000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Roof|BoxCollider|(11.0000, 2.7000, -4.5000)|(0.0000, 0.1219, 0.0000, 0.9925)|(5.0000, 0.2000, 5.0000)|False|(1.0000, 1.0000, 1.0000)
Roof|BoxCollider|(-13.0000, 2.3000, -4.0000)|(0.0000, 0.1045, 0.0000, 0.9945)|(2.6000, 0.2000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
Roof|BoxCollider|(-8.8000, 2.3000, -5.4000)|(0.0000, -0.0785, 0.0000, 0.9969)|(2.6000, 0.2000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
Sand|BoxCollider|(-0.5000, 0.0500, -10.3000)|(0.0000, -0.0698, 0.0000, 0.9976)|(7.6500, 0.1000, 5.1000)|False|(1.0000, 1.0000, 1.0000)
SandZone|BoxCollider|(-0.5000, 1.2500, -10.3000)|(0.0000, -0.0698, 0.0000, 0.9976)|(0.8500, 1.0000, 0.8500)|True|(9.0000, 2.5000, 6.0000)
Seat_1|BoxCollider|(8.5655, 0.6000, 6.5614)|(0.0000, -0.1478, 0.0000, 0.9890)|(1.2000, 0.2500, 0.8000)|True|(1.4000, 1.2000, 1.2000)
Seat_2|BoxCollider|(11.4345, 0.6000, 7.4386)|(0.0000, -0.1478, 0.0000, 0.9890)|(1.2000, 0.2500, 0.8000)|True|(1.4000, 1.2000, 1.2000)
SlideZone|BoxCollider|(-9.5082, 1.5000, 5.3414)|(0.0000, 0.9799, 0.0000, 0.1994)|(1.0000, 1.0000, 1.0000)|True|(2.7000, 4.2000, 3.1173)
Step_1|BoxCollider|(-11.2601, 1.3250, 9.4686)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 2.6500, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_2|BoxCollider|(-11.4359, 1.1500, 9.8829)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 2.3000, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_3|BoxCollider|(-11.6118, 0.9750, 10.2971)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 1.9500, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_4|BoxCollider|(-11.7876, 0.8000, 10.7113)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 1.6000, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_5|BoxCollider|(-11.9634, 0.6250, 11.1255)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 1.2500, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_6|BoxCollider|(-12.1393, 0.4500, 11.5398)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 0.9000, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_7|BoxCollider|(-12.3151, 0.2750, 11.9540)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 0.5500, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Step_8|BoxCollider|(-12.4909, 0.1000, 12.3682)|(0.0000, -0.1994, 0.0000, 0.9799)|(2.4000, 0.2000, 0.4500)|False|(1.0000, 1.0000, 1.0000)
Tube_East|BoxCollider|(-8.8000, 0.0000, -5.4000)|(0.0000, -0.0785, 0.0000, 0.9969)|(1.0000, 1.0000, 1.0000)|True|(2.2000, 2.2000, 6.0000)
Tube_West|BoxCollider|(-13.0000, 0.0000, -4.0000)|(0.0000, 0.1045, 0.0000, 0.9945)|(1.0000, 1.0000, 1.0000)|True|(2.2000, 2.2000, 6.0000)
Wall_E_N|BoxCollider|(13.8249, 1.3000, -3.5038)|(0.0000, 0.1219, 0.0000, 0.9925)|(0.2000, 2.6000, 1.7000)|False|(1.0000, 1.0000, 1.0000)
Wall_E_S|BoxCollider|(13.0266, 1.3000, -6.7058)|(0.0000, 0.1219, 0.0000, 0.9925)|(0.2000, 2.6000, 1.7000)|False|(1.0000, 1.0000, 1.0000)
Wall_E|BoxCollider|(-11.8262, 1.1000, -4.2495)|(0.0000, 0.1045, 0.0000, 0.9945)|(0.2000, 2.4000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
Wall_E|BoxCollider|(-7.6148, 1.1000, -5.2123)|(0.0000, -0.0785, 0.0000, 0.9969)|(0.2000, 2.4000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
Wall_N_E|BoxCollider|(13.2058, 1.3000, -2.4734)|(0.0000, 0.1219, 0.0000, 0.9925)|(1.7000, 2.6000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Wall_N_W|BoxCollider|(10.0038, 1.3000, -1.6751)|(0.0000, 0.1219, 0.0000, 0.9925)|(1.7000, 2.6000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Wall_S_E|BoxCollider|(11.9962, 1.3000, -7.3249)|(0.0000, 0.1219, 0.0000, 0.9925)|(1.7000, 2.6000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Wall_S_W|BoxCollider|(8.7942, 1.3000, -6.5266)|(0.0000, 0.1219, 0.0000, 0.9925)|(1.7000, 2.6000, 0.2000)|False|(1.0000, 1.0000, 1.0000)
Wall_W_N|BoxCollider|(8.9734, 1.3000, -2.2942)|(0.0000, 0.1219, 0.0000, 0.9925)|(0.2000, 2.6000, 1.7000)|False|(1.0000, 1.0000, 1.0000)
Wall_W_S|BoxCollider|(8.1751, 1.3000, -5.4962)|(0.0000, 0.1219, 0.0000, 0.9925)|(0.2000, 2.6000, 1.7000)|False|(1.0000, 1.0000, 1.0000)
Wall_W|BoxCollider|(-14.1738, 1.1000, -3.7505)|(0.0000, 0.1045, 0.0000, 0.9945)|(0.2000, 2.4000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
Wall_W|BoxCollider|(-9.9852, 1.1000, -5.5877)|(0.0000, -0.0785, 0.0000, 0.9969)|(0.2000, 2.4000, 6.0000)|False|(1.0000, 1.0000, 1.0000)
All scene mesh triangles=232929; static reachability=4486/4486 cells; both tubes and climber axes clear; custom ambient SH0=0.27 verified in Play Mode; shadow map4096 distance85; PC pipeline restored after Stop.
